Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
206,79.0,532.6962025316456,969.3291139240506,79.0,32.14213562373095,10.881895667244974,9.326424802430076,0.5152185522803948,0.8977272727272727,0.7181818181818181,0.960920584489892,1.1667810439440425,0.43173643946647644,0.2178054004907608,0.3494308590888977,0.0,1.0,34.107177734375,0.16020898520946503,0.0,0.3050260841846466,0.0,0.679325830936432,12.656510353088379,0.39726924896240234,0.4110616147518158,0.056779246777296066,0.31494149565696716,0.4524156928062439,31.3842716217041,True,True,0,1,True,Anterior
207,164.0,925.7073170731708,590.7134146341464,164.0,46.87005768508881,16.89208401094383,12.402678937332043,0.6789005458850329,0.9479768786127167,0.6890756302521008,0.938129377326951,1.3619705949251564,0.2630347013473511,0.2009069323539734,0.27739402651786804,0.0,0.6017695009708405,43.137691497802734,0.12997876107692719,0.0,0.20993883907794952,0.0,0.4678544819355015,21.316516876220703,0.7969539165496826,0.7736307382583618,0.15900202095508575,0.5976410031318664,1.0,130.700439453125,True,True,0,1,True,Anterior
208,459.0,266.34204793028323,432.48148148148147,459.0,79.94112549695427,27.553549495752737,21.441227053279096,0.6280590320382716,0.95625,0.7675585284280937,0.902572366158026,1.2850733508527843,0.08012526482343674,0.0,0.12912195920944214,0.0,0.2158455103635788,36.777496337890625,0.07416263967752457,0.0,0.1265791356563568,0.0,0.26718146800994874,34.040653228759766,0.4249477684497833,0.4230177700519562,0.077426977455616,0.3293401777744293,0.5172284960746765,195.051025390625,True,True,0,8,True,Marginal
209,393.0,5.8396946564885495,711.9160305343512,393.0,82.5269119345812,33.92685752178461,15.362509589072134,0.8916056986839497,0.9703703703703703,0.7705882352941177,0.7251222396027613,2.208418964692977,0.2769313156604767,0.28518566489219666,0.15975403785705566,0.0,0.5610272765159607,108.8340072631836,0.13867077231407166,0.10084573924541473,0.1356603056192398,0.0,0.36113595962524414,54.497615814208984,0.36239922046661377,0.35731130838394165,0.08933324366807938,0.24980134069919585,0.47302007079124453,142.4228973388672,True,True,0,6,True,Marginal
210,105.0,426.2952380952381,388.93333333333334,105.0,37.55634918610404,14.517626924315874,9.280875692039807,0.7689713446864637,0.9722222222222222,0.8333333333333334,0.9354755184715366,1.5642518449813545,0.27660149335861206,0.21748927235603333,0.22192925214767456,0.0,0.6491658329963684,29.043155670166016,0.08549506962299347,0.0,0.14908792078495026,0.0,0.23397424519062043,8.976982116699219,0.29849371314048767,0.29013529419898987,0.044740788638591766,0.2550218105316162,0.36095269918441775,31.341840744018555,True,True,0,0,True,Anterior
211,174.0,879.816091954023,274.3448275862069,174.0,48.87005768508881,17.478071025600176,12.726289284704723,0.6854401873502166,0.93048128342246,0.6904761904761905,0.915531748014122,1.3733831311383478,0.15862803161144257,0.0,0.22680169343948364,0.0,0.4631923019886017,27.601276397705078,0.07426227629184723,0.0,0.11580504477024078,0.0,0.24386485964059834,12.921636581420898,0.7166871428489685,0.7085363864898682,0.09779536724090576,0.6059134662151336,0.8489416360855103,124.70356750488281,True,True,0,4,True,Anterior
212,642.0,297.1246105919003,716.3364485981308,642.0,95.59797974644667,33.12114216164059,25.073514180980414,0.6533865574123986,0.9610778443113772,0.7670250896057348,0.8827697913739782,1.3209613109104876,0.18543319404125214,0.0,0.25535187125205994,0.0,0.6169370949268341,119.04811096191406,0.05504274740815163,0.0,0.12429654598236084,0.0,0.28186656832695006,35.33744430541992,0.4322185516357422,0.433602511882782,0.10229255259037018,0.2862237960100174,0.5664756298065186,277.48431396484375,False,True,0,8,True,Marginal
213,646.0,341.65634674922603,571.3529411764706,646.0,101.9827560572969,40.4430448763988,20.44112789781191,0.8628676155414535,0.9598811292719168,0.6296296296296297,0.780528729420553,1.9785133715996155,0.09354318678379059,0.0,0.12817789614200592,0.0,0.20167852938175201,60.428897857666016,0.11774789541959763,0.0,0.19106686115264893,0.0,0.39445099234580994,76.06513977050781,0.3727130591869354,0.366645872592926,0.05505402013659477,0.3011073023080826,0.43578894436359406,240.7726287841797,True,True,0,13,True,Anterior
214,699.0,838.5879828326181,273.274678111588,699.0,107.01219330881975,42.29678996934546,21.618017010865618,0.859519461589214,0.938255033557047,0.8321428571428572,0.7670444094848127,1.9565527193399055,0.1548369824886322,0.0,0.23134738206863403,0.0,0.4585575461387634,108.23104858398438,0.11689296364784241,0.0,0.19876787066459656,0.0,0.38948513269424445,81.70818328857422,0.7777481079101562,0.8036276698112488,0.17542852461338043,0.5610257387161255,0.9874265313148498,543.6459350585938,True,True,0,10,True,Anterior
215,291.0,450.91752577319585,626.213058419244,291.0,61.698484809834994,20.88369862756839,17.91114717988839,0.5142144631276097,0.9732441471571907,0.7698412698412699,0.9606249350277302,1.1659609749071653,0.11944228410720825,0.0,0.15224896371364594,0.0,0.22159309685230255,34.75770568847656,0.11636465042829514,0.0,0.20729781687259674,0.0,0.4406421184539795,33.86211395263672,0.387145459651947,0.38752761483192444,0.06064678356051445,0.31032559275627136,0.4619646668434143,112.65933227539062,True,True,0,2,True,Anterior
