label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
419,796.0,104.08291457286433,677.5879396984925,87,662,121,693
420,600.0,156.8,250.67166666666665,145,234,167,270
421,452.0,678.4845132743363,287.71238938053096,665,277,692,301
422,245.0,47.65714285714286,45.183673469387756,39,37,58,57
423,501.0,790.4091816367265,623.7524950099801,780,609,803,638
424,1062.0,339.7994350282486,217.81261770244822,323,198,356,239
425,70.0,386.92857142857144,505.34285714285716,382,501,392,511
426,235.0,263.1063829787234,288.0936170212766,254,281,274,297
427,724.0,166.396408839779,309.689226519337,149,292,183,324
428,1353.0,785.9682187730969,24.7620103473762,761,5,807,44
429,62.0,586.758064516129,275.7096774193548,582,272,592,281
430,86.0,899.7441860465116,589.8023255813954,894,585,906,595
431,452.0,745.1659292035398,41.415929203539825,732,30,758,56
432,260.0,638.4269230769231,253.5076923076923,625,246,651,263
433,202.0,559.009900990099,532.7227722772277,550,526,569,541
434,58.0,667.4827586206897,180.75862068965517,664,177,672,186
435,450.0,99.95777777777778,615.8844444444444,91,600,113,629
436,506.0,785.0197628458498,181.69367588932806,773,168,797,198
437,199.0,734.6180904522613,430.77386934673365,725,423,744,439
438,800.0,867.1875,978.18,852,962,885,995
439,750.0,702.224,572.1026666666667,689,554,718,596
440,217.0,721.331797235023,89.87557603686636,714,82,731,98
441,190.0,596.7368421052631,96.15263157894736,588,89,605,105
442,113.0,277.20353982300884,774.2212389380531,270,770,285,780
443,898.0,505.6837416481069,846.9265033407572,489,830,521,866
444,110.0,290.4727272727273,149.73636363636365,284,145,298,156
445,1330.0,800.7067669172932,293.909022556391,771,279,831,309
446,50.0,577.98,526.52,574,522,583,531
447,395.0,743.5240506329114,211.11645569620254,729,201,760,222
448,75.0,519.72,109.77333333333333,515,106,526,115
449,747.0,143.84337349397592,218.1726907630522,133,200,157,237
450,1788.0,442.1219239373602,856.8131991051454,419,832,466,881
451,830.0,164.37590361445783,666.3144578313253,146,651,185,682
452,521.0,110.53742802303263,636.5930902111324,99,618,122,653
453,609.0,695.688013136289,334.9408866995074,679,322,711,348
454,354.0,422.74858757062145,346.6186440677966,409,338,436,357
455,585.0,731.0717948717949,283.2358974358974,715,269,745,301
456,113.0,486.8141592920354,232.93805309734512,481,227,494,239
457,74.0,787.4594594594595,590.2837837837837,783,585,792,596
458,527.0,940.0037950664137,526.26944971537,927,514,954,540
459,113.0,990.0884955752213,630.1858407079646,983,626,998,635
460,275.0,423.1309090909091,817.6036363636364,414,808,434,827
461,544.0,601.6709558823529,168.45220588235293,586,156,617,181
